"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.11.2022","2,8335","2,7965","2,8375","2,7810","45,81M","1,72%"
"24.11.2022","2,7855","2,7700","2,8120","2,7675","38,38M","0,41%"
"23.11.2022","2,7740","2,7810","2,7880","2,7365","61,68M","-0,11%"
"22.11.2022","2,7770","2,6900","2,7885","2,6820","83,40M","3,29%"
"21.11.2022","2,6885","2,5900","2,6955","2,5870","57,47M","3,17%"
"18.11.2022","2,6060","2,5540","2,6060","2,5400","49,93M","3,02%"
"17.11.2022","2,5295","2,5810","2,5895","2,5030","79,55M","-1,79%"
"16.11.2022","2,5755","2,6040","2,6150","2,5755","31,48M","-1,27%"
"15.11.2022","2,6085","2,5840","2,6125","2,5655","30,77M","1,42%"
"14.11.2022","2,5720","2,5400","2,5835","2,5280","31,57M","1,76%"
"11.11.2022","2,5275","2,5420","2,5615","2,5015","62,05M","-1,02%"
"10.11.2022","2,5535","2,6080","2,6080","2,5210","75,57M","-2,26%"
"09.11.2022","2,6125","2,6300","2,6695","2,5970","35,92M","-1,23%"
"08.11.2022","2,6450","2,6560","2,6670","2,6365","67,72M","-0,58%"
"07.11.2022","2,6605","2,6500","2,6850","2,6330","66,07M","-0,32%"
"04.11.2022","2,6690","2,6065","2,6905","2,5990","49,67M","3,05%"
"03.11.2022","2,5900","2,6125","2,6210","2,5610","131,65M","-1,20%"
"02.11.2022","2,6215","2,6620","2,6705","2,6075","97,19M","-0,83%"
"01.11.2022","2,6435","2,6370","2,6775","2,6315","27,14M","0,82%"
"31.10.2022","2,6220","2,6305","2,6570","2,5960","33,63M","-1,35%"
"28.10.2022","2,6580","2,6200","2,6580","2,6020","34,07M","1,26%"
"27.10.2022","2,6250","2,6275","2,6435","2,6015","51,13M","-0,91%"
"26.10.2022","2,6490","2,7560","2,7600","2,6020","73,73M","-3,27%"
"25.10.2022","2,7385","2,7450","2,7770","2,6880","37,63M","0,53%"
"24.10.2022","2,7240","2,6800","2,7480","2,6690","40,81M","2,48%"
"21.10.2022","2,6580","2,6390","2,6585","2,5900","59,40M","-0,39%"
"20.10.2022","2,6685","2,6300","2,6785","2,6070","95,03M","1,29%"
"19.10.2022","2,6345","2,6365","2,6500","2,5830","304,54M","0,52%"
"18.10.2022","2,6210","2,5895","2,6720","2,5870","41,30M","2,12%"
"17.10.2022","2,5665","2,5305","2,6030","2,5250","81,95M","1,42%"
"14.10.2022","2,5305","2,5500","2,5760","2,5125","37,84M","1,34%"
"13.10.2022","2,4970","2,4090","2,5130","2,3950","40,84M","3,33%"
"12.10.2022","2,4165","2,4490","2,4525","2,3950","31,87M","-1,69%"
"11.10.2022","2,4580","2,4795","2,4860","2,4355","29,06M","-1,62%"
"10.10.2022","2,4985","2,5115","2,5490","2,4915","61,87M","-1,11%"
"07.10.2022","2,5265","2,5325","2,5680","2,5020","27,11M","-0,92%"
"06.10.2022","2,5500","2,5800","2,5965","2,5370","18,78M","-0,99%"
"05.10.2022","2,5755","2,6195","2,6385","2,5555","36,28M","-2,31%"
"04.10.2022","2,6365","2,5040","2,6510","2,4950","58,75M","6,98%"
"03.10.2022","2,4645","2,3665","2,4750","2,3565","35,13M","2,79%"
"30.09.2022","2,3975","2,4055","2,4230","2,3800","33,18M","0,67%"
"29.09.2022","2,3815","2,4225","2,4335","2,3535","40,85M","-2,32%"
"28.09.2022","2,4380","2,4100","2,4430","2,3630","46,20M","0,29%"
"27.09.2022","2,4310","2,5440","2,5465","2,4280","37,55M","-2,62%"
"26.09.2022","2,4965","2,5010","2,5255","2,4665","54,33M","-1,11%"
"23.09.2022","2,5245","2,6000","2,6000","2,4885","51,52M","-3,00%"
"22.09.2022","2,6025","2,5420","2,6495","2,5220","32,76M","0,81%"
"21.09.2022","2,5815","2,5820","2,6285","2,5580","33,68M","-2,10%"
"20.09.2022","2,6370","2,6575","2,6805","2,6235","34,69M","-0,11%"
"19.09.2022","2,6400","2,6425","2,6690","2,6250","26,93M","-0,40%"
"16.09.2022","2,6505","2,6220","2,6540","2,6080","84,18M","-0,97%"
"15.09.2022","2,6765","2,5975","2,6860","2,5970","70,16M","3,52%"
"14.09.2022","2,5855","2,5645","2,6160","2,5520","30,62M","0,41%"
"13.09.2022","2,5750","2,6485","2,6540","2,5430","41,47M","-2,39%"
"12.09.2022","2,6380","2,5590","2,6585","2,5545","56,08M","4,06%"
"09.09.2022","2,5350","2,4680","2,5635","2,4650","42,20M","3,45%"
"08.09.2022","2,4505","2,4095","2,4770","2,3730","41,79M","2,77%"
"07.09.2022","2,3845","2,3870","2,4100","2,3320","28,71M","-1,06%"
"06.09.2022","2,4100","2,3905","2,4295","2,3760","20,76M","0,63%"
"05.09.2022","2,3950","2,3640","2,3950","2,3465","27,79M","-1,38%"
"02.09.2022","2,4285","2,3860","2,4435","2,3710","26,91M","2,02%"
"01.09.2022","2,3805","2,4015","2,4115","2,3545","27,53M","-1,51%"
"31.08.2022","2,4170","2,4585","2,4615","2,4055","69,06M","-1,25%"
"30.08.2022","2,4475","2,4220","2,5040","2,4190","33,12M","1,70%"
"29.08.2022","2,4065","2,3800","2,4100","2,3675","21,78M","-0,04%"
"26.08.2022","2,4075","2,4690","2,4830","2,3960","25,58M","-1,55%"
"25.08.2022","2,4455","2,4945","2,4990","2,4335","24,01M","-1,13%"
"24.08.2022","2,4735","2,4815","2,4955","2,4550","17,79M","-0,94%"
"23.08.2022","2,4970","2,4915","2,5235","2,4705","21,18M","0,00%"
"22.08.2022","2,4970","2,5215","2,5215","2,4625","28,34M","-1,38%"
